* Sea Surface Temperature timeseries for an undisclosed location in the ocean.
* This dataset was prepared for a Class Project for Basic Computer Skills 2
* At the Cape Peninsula University of Technology.
* Column 1: UTC Date and Time [YYYYMMDDHHMMSS]
* Column 2: Sea Surface Temperature [Deg.C]
"20190905115734,15.4519"
"20190905115740,15.4513"
"20190905115746,15.4514"
"20190905115752,15.4508"
"20190905115758,15.4503"
"20190905115804,15.4500"
"20190905115810,15.4498"
"20190905115816,15.4489"
"20190905115822,15.4481"
"20190905115828,15.4462"
"20190905115834,15.4467"
"20190905115840,15.4462"
"20190905115846,15.4450"
"20190905115852,15.4444"
"20190905115858,15.4442"
"20190905115904,15.4440"
"20190905115910,15.4419"
"20190905115916,15.4404"
"20190905115922,15.4391"
"20190905115928,15.4386"
"20190905115934,15.4380"
"20190905115940,15.4377"
"20190905115946,15.4376"
"20190905115952,15.4382"
"20190905115958,15.4385"
"20190905120004,15.4381"
"20190905120010,15.4378"
"20190905120016,15.4380"
"20190905120022,15.4375"
"20190905120028,15.4372"
"20190905120034,15.4379"
"20190905120040,15.4386"
"20190905120046,15.4381"
"20190905120052,15.4381"
"20190905120058,15.4390"
"20190905120104,15.4390"
"20190905120110,15.4402"
"20190905120116,15.4404"
"20190905120122,15.4407"
"20190905120128,15.4407"
"20190905120134,15.4409"
"20190905120140,15.4409"
"20190905120146,15.4409"
"20190905120152,15.4416"
"20190905120158,15.4419"
"20190905120204,15.4433"
"20190905120210,15.4437"
"20190905120216,15.4435"
"20190905120222,15.4438"
"20190905120228,15.4434"
"20190905120234,15.4435"
"20190905120240,15.4442"
"20190905120246,15.4442"
"20190905120252,15.4453"
"20190905120258,15.4458"
"20190905120304,15.4467"
"20190905120310,15.4463"
"20190905120316,15.4463"
"20190905120322,15.4469"
"20190905120328,15.4472"
"20190905120334,15.4474"
"20190905120340,15.4484"
"20190905120346,15.4495"
"20190905120352,15.4503"
"20190905120358,15.4507"
"20190905120404,15.4512"
"20190905120410,15.4510"
"20190905120416,15.4506"
"20190905120422,15.4505"
"20190905120428,15.4498"
"20190905120434,15.4501"
"20190905120440,15.4506"
"20190905120446,15.4504"
"20190905120452,15.4501"
"20190905120458,15.4506"
"20190905120504,15.4495"
"20190905120510,15.4493"
"20190905120516,15.4492"
"20190905120522,15.4480"
"20190905120528,15.4476"
"20190905120534,15.4470"
"20190905120540,15.4465"
"20190905120546,15.4460"
"20190905120552,15.4453"
"20190905120558,15.4443"
"20190905120604,15.4441"
"20190905120610,15.4437"
"20190905120616,15.4434"
"20190905120622,15.4435"
"20190905120628,15.4432"
"20190905120634,15.4429"
"20190905120640,15.4438"
"20190905120646,15.4443"
"20190905120652,15.4442"
"20190905120658,15.4444"
"20190905120704,15.4442"
"20190905120710,15.4454"
"20190905120716,15.4463"
"20190905120722,15.4456"
"20190905120728,15.4453"
"20190905120734,15.4454"
"20190905120740,15.4456"
"20190905120746,15.4463"
"20190905120752,15.4463"
"20190905120758,15.4463"
"20190905120804,15.4469"
"20190905120810,15.4473"
"20190905120816,15.4482"
"20190905120822,15.4480"
"20190905120828,15.4482"
"20190905120834,15.4478"
"20190905120840,15.4478"
"20190905120846,15.4491"
"20190905120852,15.4495"
"20190905120858,15.4493"
"20190905120904,15.4496"
"20190905120910,15.4496"
"20190905120916,15.4496"
"20190905120922,15.4503"
"20190905120928,15.4497"
"20190905120934,15.4489"
"20190905120940,15.4490"
"20190905120946,15.4489"
"20190905120952,15.4489"
"20190905120958,15.4477"
"20190905121004,15.4484"
"20190905121010,15.4489"
"20190905121016,15.4475"
"20190905121022,15.4467"
"20190905121028,15.4463"
"20190905121034,15.4465"
"20190905121040,15.4470"
"20190905121046,15.4477"
"20190905121052,15.4473"
"20190905121058,15.4466"
"20190905121104,15.4468"
"20190905121110,15.4470"
"20190905121116,15.4473"
"20190905121122,15.4480"
"20190905121128,15.4487"
"20190905121134,15.4503"
"20190905121140,15.4504"
"20190905121146,15.4505"
"20190905121152,15.4498"
"20190905121158,15.4496"
"20190905121204,15.4493"
"20190905121210,15.4493"
"20190905121216,15.4503"
"20190905121222,15.4507"
"20190905121228,15.4505"
"20190905121234,15.4508"
"20190905121240,15.4517"
"20190905121246,15.4522"
"20190905121252,15.4513"
"20190905121258,15.4510"
"20190905121304,15.4514"
"20190905121310,15.4513"
"20190905121316,15.4510"
"20190905121322,15.4507"
"20190905121328,15.4513"
"20190905121334,15.4515"
"20190905121340,15.4520"
"20190905121346,15.4522"
"20190905121352,15.4528"
"20190905121358,15.4534"
"20190905121404,15.4537"
"20190905121410,15.4542"
"20190905121416,15.4538"
"20190905121422,15.4538"
"20190905121428,15.4539"
"20190905121434,15.4549"
"20190905121440,15.4556"
"20190905121446,15.4558"
"20190905121452,15.4559"
"20190905121458,15.4566"
"20190905121504,15.4578"
"20190905121510,15.4590"
"20190905121516,15.4593"
"20190905121522,15.4592"
"20190905121528,15.4595"
"20190905121534,15.4594"
"20190905121540,15.4597"
"20190905121546,15.4598"
"20190905121552,15.4593"
"20190905121558,15.4603"
"20190905121604,15.4600"
"20190905121610,15.4595"
"20190905121616,15.4600"
"20190905121622,15.4599"
"20190905121628,15.4591"
"20190905121634,15.4590"
"20190905121640,15.4578"
"20190905121646,15.4570"
"20190905121652,15.4564"
"20190905121658,15.4554"
"20190905121704,15.4556"
"20190905121710,15.4552"
"20190905121716,15.4548"
"20190905121722,15.4528"
"20190905121728,15.4529"
"20190905121734,15.4532"
"20190905121740,15.4532"
"20190905121746,15.4519"
"20190905121752,15.4520"
"20190905121758,15.4513"
"20190905121804,15.4509"
"20190905121810,15.4510"
"20190905121816,15.4520"
"20190905121822,15.4527"
"20190905121828,15.4529"
"20190905121834,15.4529"
"20190905121840,15.4524"
"20190905121846,15.4519"
"20190905121852,15.4516"
"20190905121858,15.4521"
"20190905121904,15.4517"
